Title,Year,Duration,Genre,Rating,Votes,Director,Actor1,Actor2,Actor3,genre_list,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_News,genre_Romance,genre_Sci-Fi,genre_Sport,genre_Thriller,genre_Unknown,genre_War,genre_Western,Director_enc,Actor1_enc,Actor2_enc,Actor3_enc
Dil Ka Raaja,(1972),,"Comedy, Drama",5.6,13,P. Madhavan,Ajit,Indrani Mukherjee,Master Anil,"['Comedy', 'Drama']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756,118,868,1427
Dil Ka Rishta,(2003),0.0,"Drama, Musical, Romance",4.8,0,Naresh Malhotra,Arjun Rampal,Aishwarya Rai Bachchan,Priyanshu Chatterjee,"['Drama', 'Musical', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1676,331,85,1904
Dil Ka Sathi Dil,(1982),,Romance,6.7,18,N. Sankaran Nair,Kamal Haasan,Zarina Wahab,Unknown,['Romance'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1629,982,2859,2853
Dil Ka Sauda,(2014),0.0,"Action, Crime, Drama",5.3,6,Lalji B. Yadav,Dilip Tadeshwar,Rakhi Sawant,Donny Kapoor,"['Action', 'Crime', 'Drama']",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1368,659,1923,750
Dil Kaa Heera,(1979),,Drama,6.6,29,Dulal Guha,Dharmendra,Hema Malini,Abhi Bhattacharya,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744,631,818,38
Dil Kabaddi,(2008),0.0,"Comedy, Drama",5.7,653,Anil Senior,Irrfan Khan,Rahul Bose,Rahul Khanna,"['Comedy', 'Drama']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,853,1843,1957
Dil Ke Jharoke Main,(1997),,"Musical, Romance",3.8,28,Ashim Bhattacharya,Aparajita,Vikas Bhalla,Chandrashekhar,"['Musical', 'Romance']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,355,310,2766,593
Dil Ke Pechey Pechey',(2005),0.0,"Drama, Thriller",4.9,12,Gopal Malhotra,Ashutosh Rana,Divya Dutta,Abbas,"['Drama', 'Thriller']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,848,382,644,29
Dil Ki Baazi,(1993),0.0,"Action, Drama",5.3,494,Anil Ganguly,Rakhee Gulzar,Avinash Wadhawan,Akshay Kumar,"['Action', 'Drama']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,1735,386,136
Dil Ki Rahen,(1973),,"Drama, Family",7.3,6,B.R. Ishara,Rakesh Pandey,Rehana Sultan,Sulochana Latkar,"['Drama', 'Family']",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,1733,2001,2695
Dil Kitna Nadan Hai,(1997),,"Drama, Musical, Romance",5.8,24,Ravi Rai,Raja Bherwani,Raageshwari,Kiran Kumar,"['Drama', 'Musical', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2220,1679,1811,1209
Dil Kya Kare,(1999),0.0,"Drama, Musical, Romance",5.1,0,Prakash Jha,Ajay Devgn,Mahima Chaudhry,Kajol,"['Drama', 'Musical', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1864,108,1249,1114
Dil Lagake Dekho,(1989),,"Drama, Romance",4.4,10,Krishna Ghattamaneni,Sridevi,Unknown,Unknown,"['Drama', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1324,2215,2681,2853
Dil Maange More!!!,(2004),0.0,"Musical, Romance",5.2,0,Ananth Narayan Mahadevan,Shahid Kapoor,Ayesha Takia,Tulip Joshi,"['Musical', 'Romance']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,239,2042,393,2834
Dil Ne Jise Apna Kaha,(2004),0.0,"Drama, Romance",4.4,0,Atul Agnihotri,Salman Khan,Preity Zinta,Bhoomika Chawla,"['Drama', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,408,1939,1758,514
Dil Ne Phir Yaad Kiya,(2001),,"Drama, Musical, Romance",3.3,106,Rajat Rawail,Govinda,Tabu,Faraaz Khan,"['Drama', 'Musical', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2052,767,2607,780
Dil Ne Phir Yaad Kiya,(1966),,"Drama, Romance",5.8,60,C.L. Rawal,Nutan,Dharmendra,Rehman,"['Drama', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,556,1490,607,2134
Dil Ne Pukara,(1967),0.0,"Drama, Romance",7.0,28,Mohan J. Bijlani,Shashi Kapoor,Sanjay Khan,Rajshree,"['Drama', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1563,2082,2197,2031
Dil Pardesi Ho Gayaa,(2003),0.0,"Romance, Drama",4.8,91,Saawan Kumar Tak,Kapil Jhaveri,Saloni Aswani,Amrish Puri,"['Romance', 'Drama']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2356,1005,2151,207
Dil Pe Mat Le Yaar!!,(2000),0.0,Drama,5.0,213,Hansal Mehta,Manoj Bajpayee,Tabu,Saurabh Shukla,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,1224,2607,2393
Dil Sala Sanki,(2016),0.0,Romance,5.0,21,Sushikailash,Shagufta Ali,Hrishitaa Bhatt,Avtar Gill,['Romance'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2841,2037,836,442
Dil Se Mile Dil,(1978),,Romance,4.3,11,Bhisham Kohli,Bhisham Kohli,Shyamalee,Om Shivpuri,['Romance'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,509,476,2412,1747
Dil Se Pooch... Kidhar Jaana Hai,(2006),,Drama,6.7,14,Shrirang Dhhavale,Aditya Srivastav,Vani Tripathi,Rohitash Gaud,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2654,83,2712,2195
Dil Se..,(1998),0.0,"Drama, Romance",7.6,0,Mani Ratnam,Shah Rukh Khan,Manisha Koirala,Preity Zinta,"['Drama', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1455,2038,1290,1869
Dil Tera Aashiq,(1993),0.0,"Comedy, Drama, Romance",5.1,720,Lawrence D'Souza,Madhuri Dixit,Salman Khan,Kader Khan,"['Comedy', 'Drama', 'Romance']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1373,1167,2150,1110
Dil Tera Diwana,(1962),0.0,"Comedy, Romance",7.0,94,B. Ramakrishnaiah Panthulu,Shammi Kapoor,Mala Sinha,Mehmood,"['Comedy', 'Romance']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,436,2058,1258,1469
Dil Tera Diwana,(1996),0.0,"Drama, Mystery",5.0,185,Lawrence D'Souza,Saif Ali Khan,Twinkle Khanna,Shatrughan Sinha,"['Drama', 'Mystery']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1373,1925,2670,2480
Dil to Pagal Hai,(1997),0.0,"Comedy, Drama, Musical",7.0,0,Yash Chopra,Shah Rukh Khan,Madhuri Dixit,Karisma Kapoor,"['Comedy', 'Drama', 'Musical']",0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3106,2038,1234,1175
Dil Toh Baccha Hai Ji,(2011),0.0,"Comedy, Drama, Romance",5.8,0,Madhur Bhandarkar,Ajay Devgn,Emraan Hashmi,Omi Vaidya,"['Comedy', 'Drama', 'Romance']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1412,108,674,1748
Dil Toh Deewana Hai,(2016),0.0,"Drama, Romance",6.5,17,Raja Bundela,Zeenat Aman,Raj Babbar,Meenu Bhardwaj,"['Drama', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2028,2549,1852,1455
Dil Tujhko Diya,(1987),0.0,Romance,5.0,22,Rakesh Kumar,Kumar Gaurav,Rati Agnihotri,Mala Sinha,['Romance'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2130,1099,1975,1359
Dil Vil Pyar Vyar,(2002),0.0,"Drama, Musical, Romance",5.3,454,Ananth Narayan Mahadevan,Madhavan,Jimmy Sheirgill,Sanjay Suri,"['Drama', 'Musical', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,239,1158,960,2335
Dil... Akhir Dil Hai,(1982),0.0,Drama,5.5,15,Esmayeel Shroff,Rakhee Gulzar,Parveen Babi,Naseeruddin Shah,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,759,1735,1677,1623
